employee_id,employee_name,current_role,profile_text
EMP001,Employee 001,Junior Developer,"Synthetic profile for Employee 001. Experience includes Git, SQL, System Design, JavaScript, AWS, Python."
EMP002,Employee 002,Developer,"Synthetic profile for Employee 002. Experience includes Git, Django, SQL, System Design, Java, REST APIs, CI/CD, Python."
EMP003,Employee 003,Analyst,"Synthetic profile for Employee 003. Experience includes Git, HTML/CSS, React, JavaScript, C++, Figma, Node.js, UI/UX Design."
EMP004,Employee 004,QA Associate,"Synthetic profile for Employee 004. Experience includes Power BI, CI/CD, SQL, Network Security, Excel, Data Visualization, REST APIs, Statistics, Pandas."
EMP005,Employee 005,Cloud Associate,"Synthetic profile for Employee 005. Experience includes NumPy, Machine Learning, SQL, Data Visualization, Statistics, Pandas, Node.js."
EMP006,Employee 006,Designer,"Synthetic profile for Employee 006. Experience includes Git, Statistics, Docker, Communication, Linux, AWS, Terraform, CI/CD."
EMP007,Employee 007,Junior Developer,"Synthetic profile for Employee 007. Experience includes Git, Jira, Docker, Azure, Kubernetes, Linux, AWS, CI/CD."
EMP008,Employee 008,Developer,"Synthetic profile for Employee 008. Experience includes Git, SIEM, Machine Learning, Network Security, JavaScript, Vulnerability Assessment."
EMP009,Employee 009,Analyst,"Synthetic profile for Employee 009. Experience includes Git, Selenium, Jira, Tableau, Automation Testing, Manual Testing, Agile."
EMP010,Employee 010,QA Associate,"Synthetic profile for Employee 010. Experience includes Jira, Communication, C++, Figma, UI/UX Design."
EMP011,Employee 011,Cloud Associate,"Synthetic profile for Employee 011. Experience includes Git, Jira, SQL, System Design, JavaScript, REST APIs, Python."
EMP012,Employee 012,Designer,"Synthetic profile for Employee 012. Experience includes Django, Selenium, Docker, SQL, System Design, Data Visualization, Python."
EMP013,Employee 013,Junior Developer,"Synthetic profile for Employee 013. Experience includes Git, HTML/CSS, React, JavaScript, AWS, Figma, UI/UX Design."
EMP014,Employee 014,Developer,"Synthetic profile for Employee 014. Experience includes Power BI, SQL, Data Visualization, REST APIs, Statistics, Pandas."
EMP015,Employee 015,Analyst,"Synthetic profile for Employee 015. Experience includes NumPy, Machine Learning, SQL, Azure, Manual Testing, Data Visualization, Python, Pandas."
EMP016,Employee 016,QA Associate,"Synthetic profile for Employee 016. Experience includes Git, Docker, Communication, Linux, AWS, Terraform, CI/CD."
EMP017,Employee 017,Cloud Associate,"Synthetic profile for Employee 017. Experience includes Git, Docker, Cryptography, Kubernetes, Linux, AWS, Terraform, CI/CD, Pandas."
EMP018,Employee 018,Designer,"Synthetic profile for Employee 018. Experience includes Git, SIEM, Tableau, Network Security, Vulnerability Assessment, Manual Testing."
EMP019,Employee 019,Junior Developer,"Synthetic profile for Employee 019. Experience includes Git, Selenium, Jira, Automation Testing, Manual Testing, Agile."
EMP020,Employee 020,Developer,"Synthetic profile for Employee 020. Experience includes HTML/CSS, Jira, Communication, System Design, Cryptography, Figma, Agile."
EMP021,Employee 021,Analyst,"Synthetic profile for Employee 021. Experience includes Git, Machine Learning, NumPy, Java, JavaScript, Python."
EMP022,Employee 022,QA Associate,"Synthetic profile for Employee 022. Experience includes Git, Django, Docker, Agile, System Design, Cryptography, REST APIs, Python."
EMP023,Employee 023,Cloud Associate,"Synthetic profile for Employee 023. Experience includes Git, Django, HTML/CSS, React, JavaScript, Figma, Manual Testing, UI/UX Design."
EMP024,Employee 024,Designer,"Synthetic profile for Employee 024. Experience includes Power BI, Docker, SQL, Excel, Data Visualization, REST APIs, Statistics, Pandas."
EMP025,Employee 025,Junior Developer,"Synthetic profile for Employee 025. Experience includes Django, NumPy, Machine Learning, Statistics, Python, Pandas."
EMP026,Employee 026,Developer,"Synthetic profile for Employee 026. Experience includes Git, Docker, Kubernetes, Linux, AWS, Terraform, CI/CD."
EMP027,Employee 027,Analyst,"Synthetic profile for Employee 027. Experience includes Git, Docker, System Design, Kubernetes, Linux, AWS, Terraform, CI/CD."
EMP028,Employee 028,QA Associate,"Synthetic profile for Employee 028. Experience includes Git, SIEM, Docker, Tableau, Network Security, Cryptography, Vulnerability Assessment, Linux."
EMP029,Employee 029,Cloud Associate,"Synthetic profile for Employee 029. Experience includes Git, Django, Selenium, Manual Testing."
EMP030,Employee 030,Designer,"Synthetic profile for Employee 030. Experience includes HTML/CSS, Jira, Communication, Network Security, Figma, UI/UX Design."
